"id","class","category"
9614,7,1
168135,7,1
156820,7,1
156661,7,1
215,7,1
216,7,1
89293224,7,1
89294363,7,1
315,7,1
22483644,7,1
155993,7,1
155811,7,1
499,7,1
501,7,1
506,7,1
505,7,1
503,7,1
618,7,1
191547,7,1
189382,7,1
869,7,1
156089,7,1
155674,7,1
155693,7,1
12241,7,1
156191,7,1
155634,7,1
156176,7,1
194471,7,1
156130,7,1
155910,7,1
1146,7,1
189672,7,1
40045,7,1
1159,7,1
1165,7,1
1166,7,1
170871,7,1
171511,7,1
1170,7,1
1172,7,1
89293279,7,1
89293271,7,1
89293295,7,1
156063,7,1
29626,7,1
1854,7,1
189643,7,1
1855,7,1
1858,7,1
2039,7,1
165346,7,1
156650,7,1
157219,7,1
156840,7,1
2179,7,1
11771,7,1
168137,7,1
2681,7,1
2683,7,1
2684,7,1
2682,7,1
2686,7,1
2685,7,1
2689,7,1
2691,7,1
2692,7,1
2690,7,1
2693,7,1
2694,7,1
2696,7,1
2698,7,1
2697,7,1
2700,7,1
2699,7,1
2701,7,1
2702,7,1
2705,7,1
2703,7,1
2704,7,1
2707,7,1
2706,7,1
2708,7,1
2709,7,1
2710,7,1
2711,7,1
2714,7,1
2715,7,1
2717,7,1
2716,7,1
2718,7,1
155714,7,1
155920,7,1
156074,7,1
194485,7,1
184503,7,1
155599,7,1
155614,7,1
155587,7,1
155507,7,1
156009,7,1
156086,7,1
172033,7,1
164886,7,1
155583,7,1
2726,7,1
155631,7,1
155959,7,1
156159,7,1
156004,7,1
155794,7,1
156076,7,1
172034,7,1
155706,7,1
15208325,7,1
156023,7,1
171954,7,1
20593155,7,1
171936,7,1
171964,7,1
22483650,7,1
2845,7,1
155767,7,1
2846,7,1
155938,7,1
2880,7,1
2881,7,1
2911,7,1
2906,7,1
2907,7,1
2910,7,1
2908,7,1
2913,7,1
40064,7,1
40068,7,1
40059,7,1
40067,7,1
191523,7,1
191524,7,1
191525,7,1
189409,7,1
184890,7,1
189474,7,1
184870,7,1
184864,7,1
3166,7,1
3284,7,1
3283,7,1
3286,7,1
3285,7,1
3287,7,1
3288,7,1
3289,7,1
44013,7,1
44009,7,1
3295,7,1
44020,7,1
44023,7,1
3309,7,1
44027,7,1
44267,7,1
3308,7,1
165377,7,1
184529,7,1
164884,7,1
155687,7,1
155942,7,1
156079,7,1
155947,7,1
156125,7,1
164822,7,1
156055,7,1
164819,7,1
155826,7,1
155780,7,1
49025509,7,1
3396,7,1
155749,7,1
155866,7,1
155708,7,1
155590,7,1
155733,7,1
155772,7,1
155591,7,1
3405,7,1
155658,7,1
155619,7,1
156042,7,1
155858,7,1
3401,7,1
155953,7,1
155662,7,1
3408,7,1
155889,7,1
155776,7,1
156027,7,1
155606,7,1
156096,7,1
3522,7,1
189157,7,1
3709,7,1
157083,7,1
156678,7,1
156675,7,1
3736,7,1
171978,7,1
3737,7,1
157231,7,1
156311,7,1
3900,7,1
157116,7,1
3990,7,1
3997,7,1
198836,7,1
155609,7,1
4089,7,1
156374,7,1
189010,7,1
156738,7,1
40085,7,1
40086,7,1
4715,7,1
156365,7,1
157141,7,1
157021,7,1
156995,7,1
40093,7,1
4800,7,1
40097,7,1
4960,7,1
184536,7,1
44274,7,1
91289406,7,1
5048,7,1
170533,7,1
5049,7,1
29617,7,1
193870,7,1
193871,7,1
170547,7,1
170567,7,1
189709,7,1
187367,7,1
189710,7,1
189708,7,1
156924,7,1
156906,7,1
156337,7,1
40050,7,1
184499,7,1
192594,7,1
192684,7,1
15307977,7,1
192852,7,1
5270,7,1
192435,7,1
192878,7,1
192350,7,1
192388,7,1
192438,7,1
192572,7,1
192613,7,1
192412,7,1
192437,7,1
192541,7,1
192768,7,1
192314,7,1
192406,7,1
192715,7,1
192698,7,1
192785,7,1
192658,7,1
192532,7,1
192530,7,1
192514,7,1
192503,7,1
192492,7,1
5468,7,1
5484,7,1
175098,7,1
5549,7,1
5552,7,1
5550,7,1
5551,7,1
5553,7,1
5711,7,1
5709,7,1
5710,7,1
5713,7,1
5750,7,1
5761,7,1
5838,7,1
5968,7,1
40076,7,1
6059,7,1
6497,7,1
195522,7,1
6524,7,1
6737,7,1
40043,7,1
6767,7,1
6768,7,1
29610,7,1
6845,7,1
6914,7,1
6913,7,1
6916,7,1
6918,7,1
6919,7,1
7126,7,1
7123,7,1
7600,7,1
7599,7,1
7603,7,1
7601,7,1
7604,7,1
7605,7,1
7608,7,1
7607,7,1
7609,7,1
7611,7,1
7612,7,1
7613,7,1
7614,7,1
7615,7,1
7598,7,1
7616,7,1
155955,7,1
155856,7,1
7987,7,1
7988,7,1
42392,7,1
55002837,7,1
40098,7,1
195525,7,1
195527,7,1
195529,7,1
195526,7,1
4873,7,1
4870,7,1
4871,7,1
4874,7,1
4872,7,1
4875,7,1
4876,7,1
189484,7,1
1294,7,1
1291,7,1
189243,7,1
8629,7,1
8632,7,1
189419,7,1
156768,7,1
8952,7,1
8993,7,1
9075,7,1
156061,7,1
9201,7,1
9289,7,1
9287,7,1
9286,7,1
9291,7,1
9330,7,1
9393,7,1
9386,7,1
9394,7,1
9395,7,1
9396,7,1
9390,7,1
9397,7,1
164842,7,1
155877,7,1
156180,7,1
155732,7,1
156169,7,1
155510,7,1
40054,7,1
22483648,7,1
155481,7,1
184887,7,1
164861,7,1
184782,7,1
22483646,7,1
195352,7,1
198842,7,1
155553,7,1
155852,7,1
156031,7,1
9697,7,1
9745,7,1
155952,7,1
187817,7,1
12245,7,1
155740,7,1
9747,7,1
9748,7,1
189468,7,1
189319,7,1
155765,7,1
164875,7,1
189181,7,1
9787,7,1
9788,7,1
156802,7,1
9789,7,1
9860,7,1
9847,7,1
193420,7,1
9875,7,1
29625,7,1
155347,7,1
188960,7,1
9909,7,1
2092,7,1
155640,7,1
155508,7,1
184882,7,1
184579,7,1
184665,7,1
184873,7,1
10344,7,1
156564,7,1
156458,7,1
168186,7,1
168178,7,1
6720,7,1
6723,7,1
155536,7,1
164833,7,1
184954,7,1
184950,7,1
156428,7,1
155546,7,1
155713,7,1
10799,7,1
155783,7,1
155931,7,1
155592,7,1
155800,7,1
155566,7,1
10850,7,1
155724,7,1
156000,7,1
155763,7,1
155880,7,1
155748,7,1
195507,7,1
155642,7,1
10921,7,1
10923,7,1
10922,7,1
10924,7,1
10926,7,1
188720,7,1
188745,7,1
188677,7,1
184903,7,1
188683,7,1
10956,7,1
155509,7,1
10997,7,1
10996,7,1
10998,7,1
203566,7,1
188696,7,1
188909,7,1
188674,7,1
184926,7,1
195537,7,1
195538,7,1
11194,7,1
11192,7,1
11281,7,1
11283,7,1
155790,7,1
91290280,7,1
155771,7,1
155909,7,1
189020,7,1
189087,7,1
171449,7,1
189530,7,1
171099,7,1
11457,7,1
11464,7,1
11465,7,1
11472,7,1
11468,7,1
170925,7,1
11653,7,1
11654,7,1
198853,7,1
11772,7,1
11780,7,1
11769,7,1
11782,7,1
11787,7,1
11803,7,1
11924,7,1
12101,7,1
12128,7,1
12127,7,1
12132,7,1
166746,7,1
157035,7,1
155809,7,1
156776,7,1
157066,7,1
15771,7,1
184678,7,1
184656,7,1
184733,7,1
44271,7,1
184577,7,1
155524,7,1
13284,7,1
13285,7,1
13286,7,1
13287,7,1
13288,7,1
13279,7,1
13289,7,1
13299,7,1
13301,7,1
13306,7,1
195550,7,1
89299048,7,1
155472,7,1
13416,7,1
13580,7,1
155830,7,1
155787,7,1
156013,7,1
13629,7,1
155944,7,1
155754,7,1
164874,7,1
156126,7,1
171976,7,1
156997,7,1
156783,7,1
13657,7,1
13666,7,1
13731,7,1
9845,7,1
13911,7,1
14329,7,1
14330,7,1
157060,7,1
157130,7,1
156859,7,1
171984,7,1
156330,7,1
193415,7,1
157092,7,1
156729,7,1
156669,7,1
40084,7,1
11201,7,1
156153,7,1
189675,7,1
168162,7,1
168163,7,1
168164,7,1
14694,7,1
156838,7,1
14768,7,1
14767,7,1
14769,7,1
14771,7,1
14770,7,1
14772,7,1
14836,7,1
14837,7,1
15019,7,1
156684,7,1
156571,7,1
15169,7,1
171987,7,1
156109,7,1
156673,7,1
195557,7,1
199629,7,1
195560,7,1
188951,7,1
189498,7,1
198863,7,1
198866,7,1
198872,7,1
198867,7,1
198873,7,1
198875,7,1
198877,7,1
198878,7,1
198879,7,1
44627,7,1
168179,7,1
156819,7,1
15450,7,1
15467,7,1
15469,7,1
15468,7,1
15475,7,1
15768,7,1
15770,7,1
40094,7,1
168118,7,1
168111,7,1
188669,7,1
184842,7,1
155813,7,1
15875,7,1
155886,7,1
155707,7,1
156035,7,1
155907,7,1
155965,7,1
155677,7,1
195563,7,1
195567,7,1
15904,7,1
155621,7,1
13155,7,1
15930,7,1
188728,7,1
16313,7,1
16411,7,1
16557,7,1
16558,7,1
16625,7,1
156352,7,1
16995,7,1
16996,7,1
17068,7,1
17070,7,1
17069,7,1
17077,7,1
189694,7,1
17241,7,1
17243,7,1
17242,7,1
17281,7,1
17282,7,1
17441,7,1
17445,7,1
17444,7,1
17450,7,1
17451,7,1
195574,7,1
17446,7,1
17452,7,1
195581,7,1
156095,7,1
155768,7,1
17479,7,1
189578,7,1
156064,7,1
17512,7,1
17513,7,1
17514,7,1
156769,7,1
156970,7,1
17517,7,1
89296085,7,1
168189,7,1
17611,7,1
17697,7,1
17696,7,1
17700,7,1
17698,7,1
17704,7,1
17705,7,1
17714,7,1
156301,7,1
156764,7,1
156967,7,1
66630953,7,1
189606,7,1
13158,7,1
155466,7,1
184602,7,1
165393,7,1
198891,7,1
198893,7,1
168151,7,1
168150,7,1
18382,7,1
18443,7,1
155480,7,1
155584,7,1
155727,7,1
164846,7,1
155850,7,1
155710,7,1
184609,7,1
155905,7,1
155802,7,1
189510,7,1
164852,7,1
195351,7,1
156135,7,1
155576,7,1
155893,7,1
18823,7,1
168130,7,1
40718,7,1
18950,7,1
18948,7,1
18953,7,1
18955,7,1
155863,7,1
155883,7,1
189691,7,1
40047,7,1
18963,7,1
18959,7,1
189303,7,1
40052,7,1
18968,7,1
18969,7,1
18974,7,1
189238,7,1
18985,7,1
19067,7,1
155870,7,1
172041,7,1
156437,7,1
19427,7,1
19431,7,1
19430,7,1
19429,7,1
19432,7,1
19435,7,1
19452,7,1
19453,7,1
189257,7,1
19669,7,1
19726,7,1
19737,7,1
19761,7,1
156363,7,1
157218,7,1
156990,7,1
155646,7,1
168202,7,1
157052,7,1
156019,7,1
172005,7,1
189228,7,1
188913,7,1
189050,7,1
20108,7,1
6245,7,1
44709,7,1
165395,7,1
165401,7,1
168153,7,1
195592,7,1
195590,7,1
195593,7,1
195596,7,1
195594,7,1
20266,7,1
20267,7,1
195599,7,1
157064,7,1
20313,7,1
20444,7,1
156552,7,1
155709,7,1
155567,7,1
20649,7,1
155773,7,1
155904,7,1
188680,7,1
188700,7,1
20854,7,1
155968,7,1
168106,7,1
21122,7,1
21123,7,1
21124,7,1
21125,7,1
156968,7,1
21276,7,1
184657,7,1
40049,7,1
164805,7,1
195602,7,1
157120,7,1
184623,7,1
21728,7,1
21746,7,1
14014,7,1
198904,7,1
22002,7,1
173180,7,1
188717,7,1
22219,7,1
22221,7,1
195605,7,1
195606,7,1
156907,7,1
22443,7,1
55201878,7,1
155533,7,1
22546,7,1
22544,7,1
22548,7,1
22547,7,1
22550,7,1
22549,7,1
22551,7,1
155600,7,1
156796,7,1
156355,7,1
155779,7,1
22835,7,1
155637,7,1
22836,7,1
22939,7,1
22954,7,1
156971,7,1
22959,7,1
22971,7,1
156793,7,1
23030,7,1
23067,7,1
23066,7,1
